Semester,Class,n,Instructor,CSIS
Spring 2016,242-01,20,3.86,3.67
Spring 2016,349-01,16,3.9,3.67
Spring 2016,696-01,12,3.94,3.67
Spring 2016,696-02,11,3.9,3.67
Summer 2016,542-01,6,3.96,3.86
Fall 2016,242-01,32,3.8,3.6
Fall 2016,550-01,32,3.9,3.6
Fall 2016,691-04,19,3.6,3.6
Fall 2016,692-01,14,3.7,3.6
Spring 2017,242-01,20,3.8,3.6
Spring 2017,349-01,26,3.9,3.6
Spring 2017,599-01,16,3.8,3.6
Spring 2017,692-01,15,3.7,3.6
Summer 2017,691-01,4,4,3.6
Summer 2017,692-01,6,3.7,3.6
Fall 2017,242-01,27,3.9,3.6
Fall 2017,242-02,23,3.7,3.6
Fall 2017,550-01,20,3.8,3.6
Fall 2017,563-03,11,3.8,3.6
Fall 2017,77-101-10,18,3.5,3.6
Spring 2018,149-01,14,3.7,3.6
Spring 2018,242-01,19,3.8,3.6
Spring 2018,349-01,7,3.9,3.6
Spring 2018,349-02,9,3.8,3.6
Summer 2018,691-01,4,3.98,3.67
Summer 2018,691-02,1,4,3.67
Fall 2018,242-01,26,3.68,3.59
Fall 2018,242-03,14,3.81,3.59
Fall 2018,550-01,43,3.87,3.59
Fall 2018,692-01,18,3.88,3.59
Fall 2018,77-101-09,24,3.68,3.59
Spring 2019,242-01,22,3.68,3.68
Spring 2019,349-01,22,3.86,3.68
Spring 2019,349-02,19,3.84,3.68
Spring 2019,520-01,26,3.9,3.68
Summer 2019,520-01,33,3.74,3.78
Summer 2019,691-01,19,3.78,3.78
